WARNING 2022-07-03 18:37:41,021 root there is an exception
WARNING 2022-07-03 18:38:33,852 root there is an exception
WARNING 2022-07-03 18:39:07,584 root there is an exception
INFO 2022-07-03 18:57:44,295 root the pattern has been printed
INFO 2022-07-03 18:57:44,296 root finding list is done
INFO 2022-07-03 18:57:44,296 root all the dict entities has been printed
INFO 2022-07-03 18:57:44,296 root all the tuples are printed from the list
INFO 2022-07-03 19:02:03,968 root the pattern has been printed
INFO 2022-07-03 19:02:03,969 root finding list is done
INFO 2022-07-03 19:02:03,970 root all the dict entities has been printed
INFO 2022-07-03 19:02:03,970 root all the tuples are printed from the list
INFO 2022-07-03 19:02:39,739 root the pattern has been printed
INFO 2022-07-03 19:02:39,740 root finding list is done
INFO 2022-07-03 19:02:39,740 root all the dict entities has been printed
INFO 2022-07-03 19:02:39,740 root all the tuples are printed from the list
INFO 2022-07-03 19:02:39,740 root the numbers are extracted
INFO 2022-07-03 19:16:33,948 root the pattern has been printed
INFO 2022-07-03 19:16:33,948 root the pattern is printed properly
INFO 2022-07-03 19:16:33,948 root finding list is done
INFO 2022-07-03 19:16:33,948 root all the dict entities has been printed
INFO 2022-07-03 19:16:33,948 root all the tuples are printed from the list
INFO 2022-07-03 19:16:33,948 root the numbers are extracted
INFO 2022-07-03 19:16:33,948 root the ineuron is extracted from the list
INFO 2022-07-03 19:16:33,948 root the alphanum data is extracted
INFO 2022-07-03 19:16:33,948 root the number of keys are extracted
INFO 2022-07-03 19:16:33,948 root the occurances are extracted
INFO 2022-07-03 19:16:33,948 root the data is unwraped
INFO 2022-07-03 19:16:33,948 root the string data is extracted
INFO 2022-07-03 19:17:25,787 root the pattern has been printed
INFO 2022-07-03 19:17:25,788 root the pattern is printed properly
INFO 2022-07-03 19:17:25,788 root finding list is done
INFO 2022-07-03 19:17:25,788 root all the dict entities has been printed
INFO 2022-07-03 19:17:25,788 root all the tuples are printed from the list
INFO 2022-07-03 19:17:25,788 root the numbers are extracted
INFO 2022-07-03 19:17:25,788 root the ineuron is extracted from the list
INFO 2022-07-03 19:17:25,788 root the alphanum data is extracted
INFO 2022-07-03 19:17:25,788 root the number of keys are extracted
INFO 2022-07-03 19:17:25,788 root the occurances are extracted
INFO 2022-07-03 19:17:25,788 root the data is unwraped
INFO 2022-07-03 19:17:25,788 root the string data is extracted
INFO 2022-07-03 19:17:25,788 root the ineuron is extracted from the list
